www.test1.com,6
www.test2.com,20
www.test3.com,100
www.test4.com,75
www.test5.com,10
www.test6.com,30
www.test7.com,110
www.test8.com,80
www.test9.com,5
www.test10.com,25
www.test11.com,13
www.test12.com,19
www.test13.com,45
www.test14.com,90
www.test15.com,24
www.test16.com,17
www.test17.com,200
www.test18.com,49
www.test19.com,50
www.test20.com,120
www.test21.com,35
www.test22.com,47
www.test23.com,260
www.test24.com,30
www.test25.com,36
www.test26.com,100
www.test27.com,75
www.test28.com,96
www.test29.com,65
www.test30.com,85
